mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /derby/hallow2010/kayhall10.htm                    |         1 |
| /derby/hallow2010/lydhall10.htm                    |         1 |
| /derby/hallow2010/marihall10.htm                   |         1 |
| /derby/hallow2010/shemhall10.htm                   |         1 |
| /derby/hallow2010/ullihall10.htm                   |         1 |
| /derby/hallow2011/cindychall11.htm                 |         1 |
| /derby/hallow2011/kaththall11.htm                  |         1 |
| /derby/hallow2011/kayhall11.htm                    |         1 |
| /derby/hallow2011/lydiahall11.htm                  |         1 |
| /derby/hallow2011/marihall11.htm                   |         1 |
| /derby/hallow2011/marteghall11.htm                 |         1 |
| /derby/hallow2011/shemhall11.htm                   |         1 |
| /derby/hallow2011/shemhall11c.htm                  |         1 |
| /derby/hallow2012/bethwhall12.htm                  |         1 |
| /derby/hallow2012/cindyhall12.htm                  |         1 |
| /derby/hallow2012/jancathall12.htm                 |         1 |
| /derby/hallow2012/jimhall12.htm                    |         1 |
| /derby/hallow2012/kathhall12.htm                   |         1 |
| /derby/hallow2012/kaththall12.htm                  |         1 |
| /derby/hallow2012/lisehall12.htm                   |         1 |
| /derby/hallow2012/lydiahall12.htm                  |         1 |
